Study Hours,Attendance,Marks
5.45,57.53,46.97
2.54,76.85,46.38
4.19,96.08,53.3
6.98,82.47,75.45
12.45,79.59,96.35
13.05,66.24,98.67
1.1,70.45,32.58
8.15,93.34,87.84
6.84,80.16,72.23
4.11,78.16,67.14
2.68,59.48,50.19
5.73,55.72,60.42
14.2,98.37,100.0
5.52,71.96,73.53
8.26,82.14,74.62
10.84,58.59,76.49
6.09,85.74,72.91
14.6,96.97,100.0
14.47,80.9,100.0
4.52,60.68,52.05
7.96,81.18,73.19
5.21,89.49,75.53
4.99,73.29,66.35
1.52,94.59,58.82
9.53,84.19,86.62
8.04,95.47,84.39
1.72,83.06,43.67
4.9,60.91,55.38
13.72,68.94,97.64
4.35,64.08,47.92
3.03,95.9,60.97
7.85,89.22,81.42
14.8,85.44,100.0
4.39,68.54,58.55
10.41,63.28,84.09
11.66,89.04,100.0
4.33,76.34,60.72
11.2,65.16,83.6
6.15,82.75,72.65
9.85,56.82,78.42
9.87,69.68,76.67
8.5,76.09,85.53
2.26,61.66,37.74
12.69,99.31,100.0
5.49,64.41,65.48
3.61,60.87,53.12
1.57,64.16,40.11
9.27,89.61,89.35
10.49,74.15,94.24
1.23,80.44,49.76
8.17,55.95,65.73
4.17,56.55,45.15
10.03,75.06,77.33
3.44,91.75,63.85
10.67,94.84,100.0
6.41,58.9,67.2
14.11,79.23,100.0
2.93,96.1,69.35
5.77,72.46,61.62
2.59,92.33,64.8
13.95,61.02,97.59
13.28,97.09,100.0
4.61,88.81,60.17
10.24,97.36,100.0
12.44,85.45,95.01
8.77,71.35,78.2
8.42,97.22,92.89
4.39,67.4,53.03
2.3,69.95,41.24
13.56,86.54,100.0
13.61,89.44,100.0
9.86,96.82,95.28
5.75,64.22,61.05
5.89,90.91,88.08
11.16,88.23,100.0
13.56,57.87,100.0
13.42,72.43,100.0
11.92,67.72,94.29
9.99,68.7,72.31
2.18,99.23,57.11
3.26,83.92,55.87
13.58,87.3,100.0
9.49,98.95,91.14
1.13,71.97,31.73
2.42,91.08,57.45
10.29,74.55,92.82
1.07,94.13,57.95
3.25,63.13,49.9
8.68,97.65,87.42
10.69,64.84,76.19
10.13,69.68,76.69
4.14,89.03,58.87
10.97,72.72,86.77
4.32,82.37,61.99
5.56,75.01,60.21
11.45,88.41,100.0
10.09,65.27,81.95
12.89,57.63,93.31
10.21,68.5,90.98
8.96,76.34,77.05
2.31,62.56,44.93
6.15,70.97,66.15
4.71,73.0,58.4
4.42,57.58,55.3
14.62,81.25,100.0
6.5,94.8,75.18
13.49,61.83,97.45
9.84,81.9,91.54
12.13,84.91,100.0
8.04,73.87,80.04
9.08,86.55,90.06
7.9,73.48,85.38
3.73,77.71,49.87
11.11,55.33,82.62
4.93,86.13,63.18
1.34,84.76,52.1
10.04,56.73,70.46
3.48,71.57,54.91
14.17,99.06,100.0
14.36,73.93,100.0
13.81,77.59,100.0
6.18,95.95,76.56
1.22,87.28,55.14
14.0,81.19,100.0
6.99,90.9,83.56
14.53,93.9,100.0
14.49,75.56,100.0
12.94,76.38,100.0
5.12,72.37,64.13
6.39,98.5,78.49
12.92,86.37,100.0
5.44,58.75,48.96
3.37,93.83,68.41
8.8,76.63,80.36
14.11,58.09,100.0
10.74,79.74,88.41
8.98,73.77,83.97
2.36,94.5,55.24
9.61,64.18,79.43
14.86,92.19,100.0
2.96,80.1,58.81
8.26,57.46,69.9
13.28,98.73,100.0
11.37,78.07,100.0
10.76,68.09,96.57
10.83,76.12,95.85
6.03,93.6,73.2
5.11,68.72,59.34
12.33,63.67,90.77
12.34,60.81,98.43
13.14,68.4,100.0
13.79,90.1,100.0
8.16,76.22,76.55
8.02,65.24,78.33
12.18,62.48,100.0
10.1,69.97,93.13
10.83,97.3,100.0
12.14,70.44,94.66
13.46,99.47,100.0
5.73,76.84,68.56
6.26,63.06,62.81
2.32,95.1,59.83
9.1,75.72,83.61
1.5,86.94,44.35
7.52,99.27,90.01
8.6,57.26,74.78
5.01,59.35,58.15
9.27,87.42,94.8
1.43,67.68,44.0
1.52,63.29,37.21
12.52,56.77,90.61
6.04,55.98,58.66
2.78,89.85,59.36
8.31,61.05,77.07
11.78,76.05,100.0
4.02,82.27,71.63
9.72,74.28,96.77
2.19,56.22,39.48
1.72,90.26,34.56
8.44,55.47,76.12
8.57,89.29,84.79
9.92,95.2,93.21
11.17,74.48,91.07
14.66,79.1,100.0
8.23,76.46,82.43
5.52,72.51,56.07
12.13,94.93,100.0
4.79,95.23,73.29
7.15,70.11,73.9
2.1,82.68,55.04
1.35,96.71,51.19
14.48,98.29,100.0
12.7,77.9,99.94
10.74,75.38,92.61
6.73,67.54,74.82
3.43,98.15,55.97
3.19,61.43,45.56
4.5,81.09,56.4
8.69,67.71,69.04
11.0,67.56,93.63
10.24,73.22,90.55
4.92,99.95,76.82
14.37,57.47,100.0
11.33,81.03,94.77
8.76,58.72,71.0
9.56,61.95,89.73
6.87,74.78,70.53
4.47,77.97,65.0
5.98,66.65,63.27
11.61,69.24,83.43
1.2,58.91,25.24
2.63,68.64,44.55
1.64,98.5,62.75
1.57,97.51,60.55
12.98,70.07,100.0
10.85,80.69,89.67
7.64,95.93,94.24
2.37,55.28,34.66
7.88,91.48,86.22
7.63,97.68,86.93
3.42,59.11,45.81
7.07,62.27,73.2
6.58,98.23,78.49
9.62,79.19,80.96
9.89,55.64,77.38
1.63,66.59,39.47
6.24,75.25,85.73
9.76,86.18,95.28
8.04,87.99,82.17
12.99,99.79,100.0
10.22,67.94,75.68
3.28,79.22,50.89
1.99,79.0,50.01
9.99,73.25,93.73
1.37,62.61,43.77
9.2,98.99,96.64
14.16,93.4,100.0
9.06,77.42,85.34
6.43,82.15,70.65
10.01,65.23,91.24
7.42,79.47,75.87
8.64,86.27,85.9
14.18,78.18,98.91
6.41,99.56,80.83
14.46,82.51,100.0
13.67,71.69,98.88
3.74,89.75,59.83
1.97,62.67,45.15
2.41,72.3,40.82
1.26,70.61,46.87
2.32,74.43,46.17
10.56,90.18,95.96
2.0,76.79,42.76
5.47,90.73,74.58
12.83,80.94,100.0
1.33,70.39,45.73
12.4,91.45,100.0
4.95,65.72,63.27
2.65,65.1,44.24
10.75,77.7,99.5
9.81,66.74,86.43
13.28,55.41,79.41
11.29,84.17,93.52
12.25,78.0,100.0
4.95,75.05,63.02
3.48,98.51,61.56
11.51,80.7,94.73
12.3,93.85,98.87
14.87,61.28,100.0
6.78,80.61,85.24
6.21,94.06,82.1
11.87,81.24,100.0
5.77,87.31,76.92
14.03,71.74,100.0
13.02,59.16,100.0
7.01,75.61,74.72
11.51,72.75,93.0
11.56,94.02,100.0
2.44,65.98,52.48
13.64,98.5,100.0
8.07,98.12,85.82
12.57,66.14,96.62
5.48,70.66,66.89
13.54,95.3,100.0
6.45,98.5,74.37
1.15,74.95,52.79
13.68,69.44,99.89
2.28,78.67,49.4
5.47,85.95,65.81
14.3,67.31,100.0
14.31,88.14,100.0
9.03,57.32,69.55
9.85,57.22,82.16
7.28,72.38,76.43
5.1,70.91,60.04
5.6,69.2,66.81
10.42,77.1,86.5
11.53,69.43,89.92
12.08,63.65,82.19
12.05,68.93,88.12
2.28,98.87,69.86
7.92,73.5,84.57
1.81,75.01,46.86
8.69,80.94,92.25
7.18,99.25,84.73
13.43,65.87,98.86
5.91,85.66,72.68
2.64,87.22,56.18
3.0,82.33,55.1
11.66,58.99,93.52
9.66,85.46,91.76
2.42,57.88,44.58
2.18,81.83,56.96
10.81,88.28,100.0
2.02,64.49,37.49
12.51,92.87,100.0
10.89,56.37,83.36
2.14,92.97,56.32
2.19,75.71,49.23
14.81,64.79,100.0
6.24,61.02,74.63
6.19,97.9,73.24
12.38,58.27,81.08
14.26,63.96,100.0
14.8,70.65,100.0
11.55,82.91,100.0
6.27,79.52,74.02
2.17,60.65,47.59
11.88,68.04,85.88
8.82,65.74,74.18
6.94,64.61,69.14
13.69,73.5,100.0
2.56,86.68,67.09
7.9,64.79,76.65
1.16,71.5,41.26
7.56,72.59,69.65
1.79,98.94,55.59
2.66,97.96,59.33
2.65,91.01,62.01
10.09,65.87,84.67
11.44,58.06,79.64
9.17,69.26,78.29
14.47,67.01,100.0
6.25,77.77,71.88
5.0,90.0,72.84
13.16,93.62,100.0
4.13,93.02,75.29
14.49,71.19,100.0
1.17,85.93,46.88
14.58,69.08,100.0
1.6,57.74,38.14
13.48,86.57,98.46
8.39,55.44,68.74
14.9,73.41,100.0
2.03,69.82,38.25
8.75,86.2,82.23
14.57,89.48,100.0
8.32,68.68,77.11
9.81,91.52,95.33
10.74,68.23,89.35
7.36,75.08,74.82
9.79,87.72,99.0
9.18,86.18,89.61
13.62,99.43,100.0
1.64,65.13,48.9
4.93,84.8,68.92
14.31,82.44,100.0
13.46,96.18,100.0
7.38,62.04,69.89
9.68,88.83,92.24
4.88,80.57,72.57
3.63,67.36,50.12
7.49,76.35,71.45
5.95,70.02,69.22
9.17,81.07,91.02
2.09,95.01,58.79
14.64,80.62,100.0
14.81,83.43,100.0
10.77,78.34,94.21
8.51,57.3,77.0
5.33,65.48,62.53
12.39,77.14,99.69
10.59,68.96,94.17
3.28,63.18,36.15
13.75,77.69,100.0
12.52,69.53,88.81
14.3,66.61,100.0
11.16,75.88,93.54
9.59,61.0,77.71
6.86,96.75,87.68
14.06,94.05,100.0
13.12,86.84,100.0
1.63,59.78,35.16
1.37,89.91,53.28
6.27,91.36,76.71
12.35,89.55,100.0
14.82,60.13,100.0
3.11,83.98,54.97
9.32,92.54,94.3
6.33,80.98,76.87
14.58,84.09,100.0
12.79,75.63,97.42
12.74,78.79,100.0
7.56,56.55,65.92
6.81,83.75,80.07
4.83,58.67,48.94
1.79,74.58,37.34
13.11,68.17,96.95
12.38,79.54,97.84
15.0,61.0,100.0
14.95,86.12,100.0
8.78,90.78,92.97
11.77,62.35,88.56
14.23,59.69,100.0
12.9,61.55,96.04
4.46,94.47,70.52
7.31,78.77,75.8
2.81,76.03,54.61
14.36,59.8,97.71
9.49,84.23,96.54
4.2,94.06,66.85
10.4,92.27,91.6
9.65,83.17,90.8
6.01,58.39,55.01
2.59,60.06,46.3
10.4,57.22,91.67
8.28,66.59,70.78
11.81,61.1,91.28
8.28,66.7,65.98
12.93,72.33,100.0
8.73,97.43,87.92
8.85,82.47,82.37
13.27,92.57,100.0
6.65,86.97,80.39
2.88,60.06,49.45
1.4,88.12,51.19
11.57,67.38,87.23
9.68,83.76,98.25
10.86,70.34,85.71
3.98,99.9,59.04
2.91,66.86,50.27
1.2,67.56,34.27
5.91,96.88,82.92
9.26,56.11,72.44
6.49,86.35,78.65
7.12,87.64,86.45
13.66,92.64,100.0
5.88,98.85,75.97
8.2,98.9,90.05
11.97,57.94,96.51
6.55,91.98,75.46
9.71,84.08,87.62
13.07,84.13,100.0
14.29,60.78,98.97
3.06,84.26,58.19
13.97,99.21,100.0
7.89,96.03,98.54
4.62,74.76,53.72
7.43,56.8,63.93
14.72,71.3,100.0
7.9,92.19,95.14
5.6,86.57,64.67
9.87,75.67,97.09
4.36,57.48,54.34
2.06,74.21,49.5
2.8,76.11,47.15
2.79,96.78,65.21
3.13,83.85,53.94
2.94,69.02,55.56
9.97,78.64,84.33
3.55,57.97,46.15
5.84,98.77,75.8
13.56,71.2,98.44
7.64,76.5,80.14
10.35,70.99,89.9
3.41,85.71,65.96
3.69,84.8,51.96
1.57,87.19,56.78
3.37,67.07,62.89
4.9,69.21,56.85
3.48,60.64,57.18
2.24,84.5,52.14
2.69,56.79,34.98
7.45,81.9,76.67
3.89,94.14,71.75
6.1,95.09,73.85
8.05,75.21,74.84
10.67,75.67,94.13
1.55,58.46,37.0
12.19,85.18,100.0
9.79,91.96,96.12
2.14,66.01,46.13
13.23,73.96,100.0
13.89,92.75,100.0
1.86,94.47,51.87
4.88,65.94,63.8
12.29,79.78,98.15
11.48,63.66,94.85
3.58,59.58,46.54
3.93,96.0,68.66
6.19,91.92,74.42
7.78,89.2,78.44
9.66,57.19,68.15
6.16,92.97,72.03
7.48,74.71,73.11
11.46,70.41,93.59
1.51,79.59,52.42
4.53,59.11,50.0
10.99,89.05,95.05
13.53,81.21,100.0
8.16,63.4,74.92
8.45,63.47,80.9
2.5,63.29,50.48
7.26,57.57,68.65
8.46,81.45,86.2
4.39,92.82,76.87
4.77,55.79,53.4
6.28,57.21,63.24
1.28,80.77,45.19
5.51,91.88,66.67
3.96,69.7,51.23
5.58,70.73,63.25
2.68,81.84,54.61
13.47,67.34,100.0
9.31,56.2,75.06
10.51,88.09,100.0
12.05,83.15,99.64
7.98,81.13,78.9
2.22,88.38,48.63
8.52,85.39,81.58
9.22,64.26,80.85
11.44,70.86,92.65
7.04,60.67,70.27
2.79,60.84,45.26
4.97,85.43,65.82
6.08,93.64,87.98
10.04,98.32,98.91
8.99,83.28,92.41
5.99,63.28,59.56
14.81,59.75,100.0
9.48,91.58,97.83
4.32,81.04,63.17
2.42,82.82,41.76
3.14,90.17,60.87
4.44,86.65,71.69
3.25,92.55,65.16
3.61,57.53,49.05
4.99,88.64,60.66
3.43,93.29,60.18
13.55,67.88,100.0
2.12,83.82,54.58
8.34,69.14,82.36
6.75,98.11,82.06
14.75,56.5,100.0
2.57,81.09,53.47
6.57,62.49,59.16
14.57,87.05,100.0
13.12,62.92,99.2
12.44,65.59,95.86
4.61,77.25,58.59
3.39,96.17,56.95
10.36,64.53,87.22
14.01,61.49,99.47
8.79,89.15,91.33
9.0,77.53,93.1
4.92,96.03,61.91
11.77,61.6,86.17
3.62,84.07,59.08
5.53,65.48,67.67
6.96,62.05,57.63
8.11,85.75,93.09
4.39,81.72,63.51
2.61,88.97,57.04
9.55,68.93,81.22
5.04,75.16,60.6
9.14,73.25,87.55
3.16,99.28,60.1
7.74,68.15,74.48
8.46,68.27,74.49
1.73,70.95,40.29
5.71,80.41,81.7
2.88,66.35,49.68
1.89,96.19,60.6
14.86,66.96,100.0
5.51,95.31,68.11
12.34,59.66,100.0
4.56,84.55,52.55
10.54,95.81,96.77
11.64,62.59,87.22
9.34,98.57,98.89
7.6,75.38,76.79
6.77,97.56,81.77
5.88,85.46,72.09
14.01,68.57,99.46
12.63,63.47,87.39
14.51,68.67,100.0
2.74,59.19,46.76
11.23,61.47,94.82
14.14,59.71,96.59
3.54,74.03,58.17
1.93,90.8,53.64
11.38,61.36,93.51
9.04,60.86,80.76
12.79,83.95,100.0
2.96,63.87,45.02
12.13,59.39,95.17
3.82,62.51,53.6
3.29,96.57,61.32
3.3,91.97,55.84
12.4,70.93,96.04
10.31,84.51,100.0
8.32,79.18,86.94
6.02,85.47,67.29
13.28,85.72,100.0
6.49,83.29,80.49
12.43,66.97,89.97
7.15,56.76,66.66
6.28,75.5,66.06
7.48,95.09,93.02
5.22,80.63,62.56
11.47,92.46,100.0
8.04,99.62,90.93
4.25,62.36,53.7
13.59,86.13,100.0
6.37,85.34,63.53
8.61,99.1,91.49
13.69,99.35,100.0
9.74,85.9,86.02
2.64,65.96,40.72
14.16,90.94,100.0
9.79,59.82,81.66
5.69,90.13,72.82
2.95,95.96,66.63
12.12,72.23,90.82
9.68,83.38,88.31
8.47,74.36,87.76
13.51,74.7,100.0
12.04,68.97,95.32
3.12,89.3,71.79
5.36,97.13,68.39
4.48,97.33,75.04
11.42,62.87,96.83
1.47,94.36,52.9
8.98,88.18,93.28
11.67,66.38,86.65
13.27,58.03,91.95
5.79,67.06,64.4
12.5,96.05,100.0
2.55,83.49,60.1
12.85,87.45,100.0
2.78,66.57,46.87
6.56,87.37,82.46
12.16,56.27,87.23
3.1,71.89,55.95
4.21,83.2,63.69
11.11,61.57,88.57
11.08,92.04,100.0
9.98,65.58,74.65
10.72,84.35,90.13
8.6,73.23,80.12
4.53,81.82,55.1
5.84,59.84,63.27
3.54,55.76,49.95
13.72,95.93,100.0
9.17,67.13,73.8
6.61,91.89,85.9
7.47,99.97,97.51
14.26,64.51,100.0
3.15,66.93,51.75
9.21,84.83,89.46
8.08,98.45,92.29
9.56,96.21,95.31
1.25,77.63,44.91
13.21,90.78,100.0
14.05,61.11,100.0
8.91,98.98,87.05
10.75,98.4,100.0
13.91,62.37,94.86
10.9,68.47,96.7
3.14,59.51,42.49
9.07,67.23,71.74
9.49,91.72,96.52
6.94,72.02,79.42
11.31,58.98,89.36
14.08,70.4,100.0
13.96,99.16,100.0
7.31,83.34,85.3
2.59,73.73,45.42
14.79,62.49,100.0
12.74,99.38,100.0
2.75,91.94,53.86
13.89,67.67,100.0
13.18,58.15,100.0
8.26,57.55,72.93
9.28,60.42,79.82
6.59,81.13,74.23
1.77,96.79,59.85
5.69,77.35,63.14
12.24,92.93,100.0
1.06,75.06,43.82
5.67,86.89,73.18
6.57,87.93,78.44
8.52,62.83,73.34
13.88,71.25,100.0
5.85,83.68,86.87
5.86,58.18,62.91
11.33,71.27,94.33
7.33,79.07,75.02
4.14,99.83,68.38
7.33,76.35,74.19
2.97,91.72,62.19
3.47,74.44,45.17
7.98,90.84,77.46
6.86,81.79,72.04
13.81,94.9,100.0
6.07,73.49,65.92
9.13,82.19,94.13
9.85,83.35,83.52
1.18,73.78,39.05
10.29,61.49,89.8
3.49,59.21,47.72
14.45,55.75,100.0
3.08,94.31,72.82
6.8,65.64,63.38
2.19,64.52,42.74
14.96,88.12,100.0
8.03,69.4,65.08
9.34,77.77,84.01
1.94,62.31,45.26
11.5,98.19,100.0
3.94,93.32,69.45
13.57,93.87,100.0
3.87,73.3,52.73
3.67,89.31,69.35
1.51,61.47,35.81
7.61,55.39,67.21
8.91,55.9,73.3
1.92,81.4,57.61
11.86,75.49,100.0
7.35,78.31,69.41
8.34,55.34,63.44
7.17,74.02,75.76
6.61,87.31,76.39
8.83,74.92,79.36
3.17,87.95,64.92
3.55,65.49,51.42
13.06,91.59,100.0
14.25,81.48,100.0
6.23,64.48,61.5
4.79,65.65,64.62
10.02,83.26,87.77
6.72,92.35,83.07
1.36,73.7,50.8
3.19,66.62,42.36
11.02,94.02,100.0
10.22,85.12,99.39
1.38,75.16,50.26
4.11,76.96,58.16
4.24,64.19,49.6
10.41,83.21,98.42
1.28,71.14,47.87
2.46,99.8,56.37
12.2,76.61,93.28
3.5,76.86,57.06
10.14,80.46,94.07
4.33,96.25,68.3
2.39,91.04,60.88
4.4,75.3,56.12
11.11,87.34,88.66
12.98,81.38,100.0
12.62,77.16,100.0
6.56,63.65,63.25
10.35,75.88,83.91
3.87,66.06,43.3
5.1,96.17,71.03
13.55,70.09,100.0
1.18,97.85,61.12
2.2,78.99,56.42
3.91,83.42,57.18
1.37,79.43,40.8
3.54,60.82,50.59
9.16,71.91,84.94
6.9,59.46,66.23
13.5,83.03,98.93
12.44,75.11,95.44
5.79,90.01,73.78
4.63,64.92,58.06
6.32,62.41,66.62
9.26,73.28,83.68
4.75,96.7,73.77
9.74,86.97,92.6
6.73,73.85,74.01
8.73,78.28,84.35
7.11,58.79,65.25
5.12,99.31,73.92
14.28,84.99,100.0
11.69,67.84,94.8
2.96,81.36,56.83
13.16,59.93,97.66
7.82,98.46,95.07
13.52,62.87,100.0
12.2,84.16,99.83
6.95,66.05,72.21
1.31,87.29,43.39
4.76,89.96,63.38
8.58,85.3,87.25
9.87,82.65,93.25
4.61,95.16,64.41
2.95,58.54,42.11
12.69,69.89,95.36
14.78,66.17,100.0
8.36,99.46,96.25
3.4,72.52,56.81
4.81,87.97,67.95
1.26,85.81,46.46
13.8,64.54,94.52
2.65,65.75,53.22
9.07,67.66,82.15
4.84,73.5,57.4
8.76,65.54,80.16
10.12,55.88,78.19
12.62,94.57,100.0
3.89,98.45,70.85
1.15,70.37,37.25
2.92,70.23,47.98
13.6,55.32,96.27
13.23,85.61,100.0
9.36,92.14,96.24
9.41,61.6,87.18
10.31,62.18,78.87
3.46,90.55,54.23
13.8,82.73,100.0
6.86,57.02,62.07
6.36,83.01,70.01
8.26,68.9,76.81
1.66,71.59,44.75
3.33,89.64,53.44
11.33,91.49,93.33
2.16,73.02,48.78
9.44,97.62,96.71
4.43,73.29,56.69
6.45,89.73,68.83
5.04,76.77,65.95
5.98,95.39,83.95
11.07,95.85,100.0
5.16,58.93,51.03
8.93,97.14,93.44
7.66,92.15,77.57
10.29,90.61,100.0
14.12,64.04,100.0
11.26,91.23,93.05
4.01,93.26,65.17
1.44,68.01,43.51
4.67,97.85,70.62
9.33,57.24,73.9
1.72,61.75,33.35
7.95,79.19,82.17
9.36,80.91,83.99
5.68,84.03,59.63
11.79,55.76,84.99
2.49,98.22,66.48
2.05,57.01,36.83
11.19,61.44,95.38
7.94,55.63,69.64
10.64,80.51,95.14
7.09,96.95,83.27
4.45,84.97,64.39
12.47,92.02,100.0
12.19,55.6,87.25
10.73,79.39,95.98
4.81,75.68,57.21
9.26,77.45,79.66
6.05,58.25,53.78
2.28,85.8,64.54
13.84,77.64,100.0
2.92,89.43,60.82
14.3,76.84,100.0
7.24,61.72,70.2
3.59,84.17,59.46
8.59,62.76,75.38
13.22,94.26,100.0
11.25,82.59,98.35
12.29,62.07,90.38
10.22,98.31,96.44
10.69,78.33,96.29
12.89,58.28,85.9
4.5,83.21,66.9
7.85,66.39,75.88
4.1,91.17,61.67
14.83,91.8,100.0
14.22,99.05,100.0
1.55,77.58,47.96
10.88,75.47,91.36
13.95,88.91,100.0
3.53,60.96,56.94
8.95,79.61,82.02
13.82,79.58,100.0
1.48,59.03,41.02
10.76,73.81,99.14
5.16,93.4,74.48
13.94,93.53,100.0
14.59,59.47,100.0
14.22,59.08,95.05
7.64,66.82,74.82
13.07,94.36,100.0
12.82,60.8,93.02
5.47,87.4,66.02
12.6,59.55,93.43
1.52,83.04,47.28
9.35,71.02,83.13
4.22,90.5,66.46
2.69,65.52,41.26
2.08,83.76,55.4
10.75,65.61,86.3
5.76,87.11,67.41
11.15,94.32,100.0
1.91,60.71,42.31
5.41,94.0,73.3
8.55,81.71,90.7
12.07,60.72,99.92
5.46,74.24,63.71
9.76,62.24,81.67
13.4,86.52,100.0
9.62,89.15,91.95
4.26,59.76,50.19
1.34,77.78,46.52
13.18,91.66,100.0
1.3,97.13,57.85
13.25,78.11,100.0
8.41,97.76,84.85
14.15,79.11,100.0
12.18,72.74,94.55
14.97,93.17,100.0
5.91,77.18,73.4
11.74,76.24,91.01
6.63,77.06,69.88
7.72,93.11,89.91
9.79,92.44,93.64
13.23,73.16,100.0
14.78,70.0,100.0
11.76,77.14,98.63
6.85,80.77,73.49
6.9,65.73,70.69
11.33,90.73,94.27
4.34,76.89,58.34
2.55,70.03,49.23
5.96,59.81,62.4
5.02,65.75,65.45
5.15,97.72,72.65
4.27,68.73,63.11
1.59,62.6,35.95
1.25,75.73,50.76
14.83,68.82,100.0
6.99,56.58,58.67
6.38,69.54,68.21
10.52,79.48,92.06
4.06,79.83,63.32
14.3,71.05,100.0
12.01,75.13,96.07
2.25,98.45,67.33
6.85,71.98,69.73
13.31,66.62,100.0
14.23,65.96,100.0
7.54,75.6,83.85
9.59,89.18,89.14
3.34,64.27,45.76
14.88,86.92,100.0
4.24,55.95,46.97
14.2,73.85,100.0
10.1,89.91,99.89
9.51,70.24,81.89
8.18,80.37,72.01
4.23,64.22,53.16
3.47,88.39,62.06
4.09,57.35,54.95
3.61,93.36,72.68
11.91,63.92,88.11
5.9,94.35,80.69
1.81,70.86,48.31
14.57,87.52,100.0
13.37,69.37,100.0
13.99,95.77,100.0
14.93,60.7,100.0
3.43,63.03,42.91
6.55,77.19,70.32
11.62,58.69,92.32
10.74,63.82,87.16
3.15,97.47,70.25
12.42,98.94,100.0
4.14,71.93,50.19
4.13,96.55,56.34
8.52,79.52,83.09
9.3,67.14,79.01
9.12,86.61,84.03
2.28,84.65,45.23
13.28,99.51,100.0
4.72,66.93,56.08
2.81,85.24,60.02
13.44,57.34,96.83
14.38,60.11,100.0
13.07,55.18,87.76
12.33,99.98,100.0
10.17,91.1,96.65
8.71,90.4,92.23
2.22,77.94,47.88
6.72,68.5,73.2
6.22,61.81,63.47
4.64,67.81,53.69
11.13,71.92,91.54
7.94,89.03,83.03
2.13,79.28,52.76
4.08,58.49,43.76
10.57,55.81,80.59
2.07,59.6,42.11
12.92,73.47,100.0
7.93,96.99,94.89
7.73,83.68,84.35
9.29,91.08,91.97
12.55,75.99,100.0
5.87,71.27,66.46
10.49,59.88,84.42
8.92,94.42,82.68
4.74,90.24,67.31
13.3,62.57,90.36
12.16,78.05,100.0
10.22,76.93,89.25
12.91,83.13,100.0
13.14,97.58,100.0
10.92,81.09,97.24
12.72,79.31,97.6
10.76,57.26,82.1
10.52,57.83,79.85
9.66,63.43,71.3
11.54,56.46,82.47
3.22,88.45,59.41
13.33,87.55,100.0
13.21,61.12,89.18
1.41,92.62,59.12
12.56,61.97,93.28
2.8,68.55,48.49
5.69,66.2,63.56
11.41,71.75,88.98
